# A  Zitrin 1/2016
# what you asked for: a file where each line contains the TD of the
# three images (wrt image 1), these are the first two columns, the
# magnification of the three images, respectively (these are the three
# next columns) and the chi2, this is the seventh column. There are 1000
# lines corresponding to 1000 MCMC steps (including repetition, so this
# means in total the results correspond to a few hundred different
# models or so).
#       dt12           dt13              mu1           mu2              mu3           chi2
    2.5576111e+01  -1.5317855e+03   7.3624967e+01   2.2398961e+01   3.1706006e+00   9.9013498e+01
    2.5576111e+01  -1.5317855e+03   7.3624967e+01   2.2398961e+01   3.1706006e+00   9.9013498e+01
    2.5946413e+01  -1.5138224e+03   8.1986645e+01   2.1785264e+01   3.1618045e+00   9.7099314e+01
    2.5946413e+01  -1.5138224e+03   8.1986645e+01   2.1785264e+01   3.1618045e+00   9.7099314e+01
    2.8742458e+01  -1.5588327e+03   7.5970241e+01   2.2147374e+01   3.1698744e+00   9.1649926e+01
    2.8742458e+01  -1.5588327e+03   7.5970241e+01   2.2147374e+01   3.1698744e+00   9.1649926e+01
    2.8742458e+01  -1.5588327e+03   7.5970241e+01   2.2147374e+01   3.1698744e+00   9.1649926e+01
    2.8742458e+01  -1.5588327e+03   7.5970241e+01   2.2147374e+01   3.1698744e+00   9.1649926e+01
    2.8742458e+01  -1.5588327e+03   7.5970241e+01   2.2147374e+01   3.1698744e+00   9.1649926e+01
    2.8944172e+01  -1.5387953e+03   7.8705275e+01   2.2263939e+01   3.1860742e+00   9.0253090e+01
    2.8944172e+01  -1.5387953e+03   7.8705275e+01   2.2263939e+01   3.1860742e+00   9.0253090e+01
    2.7083280e+01  -1.5308239e+03   7.6863452e+01   2.2304410e+01   3.1788685e+00   8.7976763e+01
    2.8438131e+01  -1.5199697e+03   7.9185331e+01   2.2475541e+01   3.1856309e+00   9.2167273e+01
    2.9997539e+01  -1.5201338e+03   8.1381939e+01   2.2458159e+01   3.1836123e+00   9.1494722e+01
    2.9997539e+01  -1.5201338e+03   8.1381939e+01   2.2458159e+01   3.1836123e+00   9.1494722e+01
    3.0153247e+01  -1.4872690e+03   1.0453609e+02   2.0834964e+01   3.1416810e+00   9.0258838e+01
    3.0153247e+01  -1.4872690e+03   1.0453609e+02   2.0834964e+01   3.1416810e+00   9.0258838e+01
    3.0153247e+01  -1.4872690e+03   1.0453609e+02   2.0834964e+01   3.1416810e+00   9.0258838e+01
    3.0153247e+01  -1.4872690e+03   1.0453609e+02   2.0834964e+01   3.1416810e+00   9.0258838e+01
    3.0153247e+01  -1.4872690e+03   1.0453609e+02   2.0834964e+01   3.1416810e+00   9.0258838e+01
    3.6385302e+01  -1.5104238e+03   1.1240527e+02   2.0776287e+01   3.1281867e+00   9.4322885e+01
    3.6385302e+01  -1.5104238e+03   1.1240527e+02   2.0776287e+01   3.1281867e+00   9.4322885e+01
    3.3235515e+01  -1.4779468e+03   1.1030751e+02   2.0557627e+01   3.1058439e+00   9.2046559e+01
    3.3235515e+01  -1.4779468e+03   1.1030751e+02   2.0557627e+01   3.1058439e+00   9.2046559e+01
    3.3235515e+01  -1.4779468e+03   1.1030751e+02   2.0557627e+01   3.1058439e+00   9.2046559e+01
    3.3235515e+01  -1.4779468e+03   1.1030751e+02   2.0557627e+01   3.1058439e+00   9.2046559e+01
    3.3235515e+01  -1.4779468e+03   1.1030751e+02   2.0557627e+01   3.1058439e+00   9.2046559e+01
    3.3235515e+01  -1.4779468e+03   1.1030751e+02   2.0557627e+01   3.1058439e+00   9.2046559e+01
    3.3235515e+01  -1.4779468e+03   1.1030751e+02   2.0557627e+01   3.1058439e+00   9.2046559e+01
    3.3235515e+01  -1.4779468e+03   1.1030751e+02   2.0557627e+01   3.1058439e+00   9.2046559e+01
    3.1895324e+01  -1.4524296e+03   1.1230196e+02   2.0683973e+01   3.1308742e+00   9.1201559e+01
    3.1895324e+01  -1.4524296e+03   1.1230196e+02   2.0683973e+01   3.1308742e+00   9.1201559e+01
    3.1895324e+01  -1.4524296e+03   1.1230196e+02   2.0683973e+01   3.1308742e+00   9.1201559e+01
    3.1895324e+01  -1.4524296e+03   1.1230196e+02   2.0683973e+01   3.1308742e+00   9.1201559e+01
    3.2275810e+01  -1.4955299e+03   9.2948840e+01   2.1361668e+01   3.1379553e+00   9.0810675e+01
    3.2275810e+01  -1.4955299e+03   9.2948840e+01   2.1361668e+01   3.1379553e+00   9.0810675e+01
    3.5662686e+01  -1.5108393e+03   1.0617073e+02   2.0896779e+01   3.1365757e+00   9.6840641e+01
    3.5662686e+01  -1.5108393e+03   1.0617073e+02   2.0896779e+01   3.1365757e+00   9.6840641e+01
    3.6584246e+01  -1.4823830e+03   1.4289961e+02   1.9932628e+01   3.1203284e+00   9.4150437e+01
    3.6584246e+01  -1.4823830e+03   1.4289961e+02   1.9932628e+01   3.1203284e+00   9.4150437e+01
    3.6584246e+01  -1.4823830e+03   1.4289961e+02   1.9932628e+01   3.1203284e+00   9.4150437e+01
    3.6584246e+01  -1.4823830e+03   1.4289961e+02   1.9932628e+01   3.1203284e+00   9.4150437e+01
    3.6584246e+01  -1.4823830e+03   1.4289961e+02   1.9932628e+01   3.1203284e+00   9.4150437e+01
    3.6584246e+01  -1.4823830e+03   1.4289961e+02   1.9932628e+01   3.1203284e+00   9.4150437e+01
    3.6584246e+01  -1.4823830e+03   1.4289961e+02   1.9932628e+01   3.1203284e+00   9.4150437e+01
    3.6584246e+01  -1.4823830e+03   1.4289961e+02   1.9932628e+01   3.1203284e+00   9.4150437e+01
    3.6584246e+01  -1.4823830e+03   1.4289961e+02   1.9932628e+01   3.1203284e+00   9.4150437e+01
    3.6584246e+01  -1.4823830e+03   1.4289961e+02   1.9932628e+01   3.1203284e+00   9.4150437e+01
    3.6584246e+01  -1.4823830e+03   1.4289961e+02   1.9932628e+01   3.1203284e+00   9.4150437e+01
    3.6584246e+01  -1.4823830e+03   1.4289961e+02   1.9932628e+01   3.1203284e+00   9.4150437e+01
    3.6584246e+01  -1.4823830e+03   1.4289961e+02   1.9932628e+01   3.1203284e+00   9.4150437e+01
    3.4694045e+01  -1.4942440e+03   1.1066387e+02   2.0536237e+01   3.1157213e+00   8.9684008e+01
    3.4694045e+01  -1.4942440e+03   1.1066387e+02   2.0536237e+01   3.1157213e+00   8.9684008e+01
    3.4694045e+01  -1.4942440e+03   1.1066387e+02   2.0536237e+01   3.1157213e+00   8.9684008e+01
    3.4694045e+01  -1.4942440e+03   1.1066387e+02   2.0536237e+01   3.1157213e+00   8.9684008e+01
    3.4694045e+01  -1.4942440e+03   1.1066387e+02   2.0536237e+01   3.1157213e+00   8.9684008e+01
    3.4694045e+01  -1.4942440e+03   1.1066387e+02   2.0536237e+01   3.1157213e+00   8.9684008e+01
    3.4694045e+01  -1.4942440e+03   1.1066387e+02   2.0536237e+01   3.1157213e+00   8.9684008e+01
    3.1365317e+01  -1.4706494e+03   1.1403489e+02   2.0340187e+01   3.1210355e+00   9.2086797e+01
