#  TARGET                RA         DEC       MJD  FILTER  APER       FLUX  FLUXERR         MAG   MAGERR  MAGSYS       ZP      SKY SKYERR  IMAGE
spockSE            64.03900   -24.07024  56875.10   F140W   inf     0.0453   0.0394     29.8115   0.9443     AB   26.4523   0.0002 0.0033  spock_f140w_e44-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56875.97   F140W   inf    -0.0468   0.0731     28.0998  -9.0000     AB   26.4523   0.0001 0.0032  spock_f140w_e45-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56889.05   F140W   inf     0.0439   0.0712     29.8461   1.7609     AB   26.4523   0.0001 0.0051  spock_f140w_e53-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56890.77   F140W   inf     0.0578   0.0630     29.5483   1.1835     AB   26.4523   0.0001 0.0050  spock_f140w_e55-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56899.93   F140W   inf     0.4142   0.0491     27.4093   0.1287     AB   26.4523   0.0003 0.0049  spock_f140w_e59-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56984.72   F140W   inf    -0.2374   0.3360     26.4437  -9.0000     AB   26.4523  -0.0016 0.0150  spock_f140w_e67-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56991.55   F140W   inf     0.0036   0.1931     32.5619  58.2372     AB   26.4523  -0.0028 0.0165  spock_f140w_e68-e00_sub_masked.fits
spockSE            64.03900   -24.07024  57035.52   F140W   inf    -0.0709   0.2678     26.6900  -9.0000     AB   26.4523  -0.0027 0.0173  spock_f140w_e69-e00_sub_masked.fits
spockSE            64.03900   -24.07024  57040.83   F140W   inf     0.1495   0.1826     28.5160   1.3261     AB   26.4523  -0.0024 0.0165  spock_f140w_e70-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56132.24   F160W   inf    -0.1289   0.2340     26.3305  -9.0000     AB   25.9462  -0.0005 0.0096  spock_f160w_e02-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56144.87   F160W   inf    -0.3898   0.4717     25.5692  -9.0000     AB   25.9462   0.0003 0.0096  spock_f160w_e03-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56170.79   F160W   inf    -0.2467   0.3037     26.0474  -9.0000     AB   25.9462  -0.0001 0.0076  spock_f160w_e06-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56197.79   F160W   inf    -0.5040   0.4774     25.5561  -9.0000     AB   25.9462  -0.0011 0.0084  spock_f160w_e09-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56689.36   F160W   inf    -0.1856   0.2668     26.1878  -9.0000     AB   25.9462   0.0000 0.0082  spock_f160w_e37-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56870.00   F160W   inf     0.0182   0.0455     30.2976   2.7164     AB   25.9462  -0.0000 0.0033  spock_f160w_e41-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56870.99   F160W   inf     0.1065   0.0387     28.3782   0.3943     AB   25.9462   0.0001 0.0032  spock_f160w_e42-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56877.70   F160W   inf    -0.0310   0.0860     27.4177  -9.0000     AB   25.9462   0.0003 0.0032  spock_f160w_e47-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56877.96   F160W   inf    -0.0013   0.0627     27.7604  -9.0000     AB   25.9462  -0.0000 0.0033  spock_f160w_e48-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56879.69   F160W   inf     0.0028   0.0564     32.3370  22.0498     AB   25.9462  -0.0000 0.0033  spock_f160w_e49-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56880.61   F160W   inf    -0.0283   0.0747     27.5705  -9.0000     AB   25.9462   0.0000 0.0032  spock_f160w_e50-e00_sub_masked.fits
