#  TARGET                RA         DEC       MJD  FILTER  APER       FLUX  FLUXERR         MAG   MAGERR  MAGSYS       ZP      SKY SKYERR  IMAGE
spockNW            64.03857   -24.06994  56184.88   F140W   inf    -0.1081   0.1952     27.0335  -9.0000     AB   26.4523  -0.0004 0.0081  spock_f140w_e08-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56875.10   F140W   inf    -0.0276   0.0704     28.1400  -9.0000     AB   26.4523   0.0002 0.0031  spock_f140w_e44-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56875.97   F140W   inf     0.0080   0.0436     31.6991   5.9401     AB   26.4523  -0.0000 0.0031  spock_f140w_e45-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56889.05   F140W   inf    -0.0200   0.0845     27.9423  -9.0000     AB   26.4523   0.0001 0.0049  spock_f140w_e53-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56890.77   F140W   inf    -0.1902   0.1659     27.2102  -9.0000     AB   26.4523  -0.0000 0.0049  spock_f140w_e55-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56899.93   F140W   inf    -0.1320   0.1557     27.2788  -9.0000     AB   26.4523   0.0003 0.0047  spock_f140w_e59-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56984.72   F140W   inf    -0.1105   0.2788     26.6462  -9.0000     AB   26.4523  -0.0017 0.0145  spock_f140w_e67-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56991.55   F140W   inf     0.2118   0.1683     28.1375   0.8626     AB   26.4523  -0.0020 0.0159  spock_f140w_e68-e00_sub_masked.fits
spockNW            64.03857   -24.06994  57035.52   F140W   inf    -0.2853   0.4126     26.2207  -9.0000     AB   26.4523  -0.0018 0.0172  spock_f140w_e69-e00_sub_masked.fits
spockNW            64.03857   -24.06994  57040.83   F140W   inf     0.0045   0.2513     32.3235  60.8581     AB   26.4523  -0.0022 0.0155  spock_f140w_e70-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56132.24   F160W   inf    -0.1843   0.2637     26.2005  -9.0000     AB   25.9462  -0.0004 0.0093  spock_f160w_e02-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56144.87   F160W   inf     0.0006   0.1757     34.0299 326.5110     AB   25.9462   0.0001 0.0095  spock_f160w_e03-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56170.79   F160W   inf     0.0687   0.1217     28.8545   1.9248     AB   25.9462  -0.0000 0.0073  spock_f160w_e06-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56197.79   F160W   inf    -0.1576   0.2185     26.4047  -9.0000     AB   25.9462  -0.0008 0.0081  spock_f160w_e09-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56689.36   F160W   inf    -0.2634   0.3193     25.9929  -9.0000     AB   25.9462   0.0001 0.0080  spock_f160w_e37-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56870.00   F160W   inf     0.0545   0.0442     29.1047   0.8797     AB   25.9462   0.0001 0.0032  spock_f160w_e41-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56870.99   F160W   inf     0.1689   0.0712     27.8769   0.4576     AB   25.9462   0.0000 0.0031  spock_f160w_e42-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56877.70   F160W   inf    -0.0317   0.0843     27.4382  -9.0000     AB   25.9462   0.0001 0.0032  spock_f160w_e47-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56877.96   F160W   inf    -0.0053   0.0663     27.6994  -9.0000     AB   25.9462  -0.0000 0.0031  spock_f160w_e48-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56879.69   F160W   inf    -0.0062   0.0528     27.9466  -9.0000     AB   25.9462  -0.0001 0.0032  spock_f160w_e49-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56880.61   F160W   inf     0.0228   0.0456     30.0509   2.1711     AB   25.9462  -0.0000 0.0031  spock_f160w_e50-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56880.88   F160W   inf    -0.1219   0.1573     26.7614  -9.0000     AB   25.9462   0.0003 0.0038  spock_f160w_e51-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56881.94   F160W   inf    -0.0458   0.0927     27.3355  -9.0000     AB   25.9462   0.0001 0.0037  spock_f160w_e52-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56890.04   F160W   inf    -0.0731   0.0998     27.2556  -9.0000     AB   25.9462  -0.0000 0.0036  spock_f160w_e54-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56899.00   F160W   inf    -0.0424   0.0930     27.3322  -9.0000     AB   25.9462   0.0003 0.0037  spock_f160w_e57-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56899.27   F160W   inf    -0.0969   0.1161     27.0915  -9.0000     AB   25.9462   0.0001 0.0036  spock_f160w_e58-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56900.33   F160W   inf    -0.0092   0.0800     27.4962  -9.0000     AB   25.9462   0.0000 0.0037  spock_f160w_e60-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56915.73   F160W   inf    -0.0141   0.1372     26.9098  -9.0000     AB   25.9462   0.0005 0.0060  spock_f160w_e63-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56922.41   F160W   inf    -0.0788   0.2063     26.4671  -9.0000     AB   25.9462  -0.0001 0.0087  spock_f160w_e65-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56928.13   F160W   inf    -0.1223   0.2318     26.3405  -9.0000     AB   25.9462  -0.0000 0.0086  spock_f160w_e66-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56159.54   F435W   inf     0.0060   0.0082     31.2254   0.8455     AB   25.6650  -0.0002 0.0040  spock_f435w_e05-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56184.77   F435W   inf    -0.0005   0.0050     30.2296  -9.0000     AB   25.6650   0.0000 0.0049  spock_f435w_e08-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56664.04   F435W   inf     0.0351   0.0160     29.3030   0.4962     AB   25.6650   0.0000 0.0017  spock_f435w_e12-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56665.77   F435W   inf     0.0354   0.0153     29.2933   0.4706     AB   25.6650   0.0000 0.0017  spock_f435w_e15-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56668.64   F435W   inf     0.0637   0.0159     28.6550   0.2719     AB   25.6650   0.0001 0.0021  spock_f435w_e17-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56670.55   F435W   inf     0.1166   0.0183     27.9986   0.1704     AB   25.6650   0.0000 0.0021  spock_f435w_e19-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56672.03   F435W   inf     0.2870   0.0210     27.0204   0.0796     AB   25.6650   0.0000 0.0022  spock_f435w_e23-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56672.56   F435W   inf     0.4316   0.0180     26.5774   0.0453     AB   25.6650  -0.0000 0.0021  spock_f435w_e25-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56672.83   F435W   inf     0.4270   0.0191     26.5889   0.0485     AB   25.6650  -0.0000 0.0021  spock_f435w_e26-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56679.45   F435W   inf    -0.0332   0.0355     28.0970  -9.0000     AB   25.6650   0.0000 0.0017  spock_f435w_e30-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56686.51   F435W   inf    -0.0284   0.0337     28.1523  -9.0000     AB   25.6650   0.0000 0.0017  spock_f435w_e35-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56696.27   F435W   inf    -0.0152   0.0329     28.1781  -9.0000     AB   25.6650   0.0000 0.0021  spock_f435w_e39-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56144.78   F606W   inf    -0.0232   0.0189     30.5900  -9.0000     AB   26.4930  -0.0004 0.0062  spock_f606w_e03-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56170.73   F606W   inf    -0.1279   0.1202     29.8920  -9.0000     AB   26.4930  -0.0002 0.0068  spock_f606w_e06-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56663.53   F606W   inf     0.0985   0.0210     29.0089   0.2310     AB   26.4930   0.0001 0.0023  spock_f606w_e11-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56665.45   F606W   inf     0.1389   0.0210     28.6360   0.1638     AB   26.4930   0.0001 0.0024  spock_f606w_e14-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56671.56   F606W   inf     0.5225   0.0290     27.1977   0.0603     AB   26.4930   0.0001 0.0029  spock_f606w_e22-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56678.46   F606W   inf    -0.0639   0.0496     28.5614  -9.0000     AB   26.4930   0.0000 0.0023  spock_f606w_e28-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56682.31   F606W   inf    -0.0649   0.0466     28.6298  -9.0000     AB   26.4930   0.0001 0.0023  spock_f606w_e33-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56688.42   F606W   inf    -0.0729   0.0568     28.4147  -9.0000     AB   26.4930  -0.0000 0.0027  spock_f606w_e36-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56916.92   F606W   inf    -0.0219   0.0694     28.1968  -9.0000     AB   26.4930  -0.0004 0.0054  spock_f606w_e64-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56144.80   F814W   inf     0.2068   0.2087     27.6579   0.0973     AB   25.9470   0.0000 0.0061  spock_f814w_e03-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56157.83   F814W   inf     0.0183   0.0268     30.2882   0.5209     AB   25.9470   0.0002 0.0062  spock_f814w_e04-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56170.72   F814W   inf    -0.0714   0.0719     27.6119  -9.0000     AB   25.9470  -0.0001 0.0057  spock_f814w_e06-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56184.75   F814W   inf     0.0025   0.0047     32.4726   2.2560     AB   25.9470  -0.0001 0.0049  spock_f814w_e08-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56662.85   F814W   inf     0.0408   0.0169     29.4202   0.4502     AB   25.9470   0.0001 0.0022  spock_f814w_e10-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56663.71   F814W   inf     0.0754   0.0187     28.7532   0.2687     AB   25.9470  -0.0000 0.0022  spock_f814w_e11-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56664.71   F814W   inf     0.0928   0.0121     28.5280   0.1412     AB   25.9470  -0.0000 0.0016  spock_f814w_e13-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56665.58   F814W   inf     0.1161   0.0189     28.2849   0.1769     AB   25.9470   0.0000 0.0023  spock_f814w_e14-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56666.58   F814W   inf     0.0443   0.0147     29.3321   0.3607     AB   25.9470   0.0000 0.0019  spock_f814w_e16-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56669.37   F814W   inf     0.1372   0.0191     28.1035   0.1515     AB   25.9470   0.0001 0.0025  spock_f814w_e18-e00_sub_masked.fits
