# event obsband deltatpk mpk fnupk trise t3 restband tpk kcor
se  f125w   2.40  27.18   0.0486  8.400  7.200  sdssr  2.400  -0.883 
se  f125w   2.50  27.17   0.0494  8.500  7.200  sdssr  2.500  -0.888 
se  f125w   2.60  27.15   0.0502  8.600  7.200  sdssr  2.600  -0.891 
se  f125w   2.70  27.13   0.0510  8.700  7.200  sdssr  2.700  -0.894 
se  f125w   2.80  27.11   0.0519  8.800  7.200  sdssr  2.800  -0.896 
se  f125w   2.90  27.09   0.0527  8.900  7.200  sdssr  2.900  -0.900 
se  f125w   3.00  27.08   0.0536  9.000  7.200  sdssr  3.000  -0.904 
se  f125w   3.10  27.06   0.0545  9.100  7.200  sdssr  3.100  -0.907 
se  f125w   3.20  27.04   0.0554  9.200  7.200  sdssr  3.200  -0.911 
se  f125w   3.30  27.02   0.0563  9.300  7.200  sdssr  3.300  -0.914 
se  f125w   3.40  27.01   0.0572  9.400  7.200  sdssr  3.400  -0.918 
se  f125w   3.50  26.99   0.0582  9.500  7.186  sdssr  3.500  -0.921 
se  f125w   3.60  26.97   0.0591  9.600  7.165  sdssr  3.600  -0.924 
se  f125w   3.70  26.95   0.0601  9.700  7.146  sdssr  3.700  -0.928 
se  f125w   3.80  26.94   0.0611  9.800  7.128  sdssr  3.800  -0.932 
se  f125w   3.90  26.92   0.0621  9.900  7.112  sdssr  3.900  -0.936 
se  f125w   4.00  26.90   0.0631  10.000  7.097  sdssr  4.000  -0.938 
se  f125w   4.10  26.88   0.0641  10.100  7.083  sdssr  4.100  -0.942 
se  f125w   4.20  26.86   0.0652  10.200  7.070  sdssr  4.200  -0.945 
se  f125w   4.30  26.85   0.0663  10.300  7.059  sdssr  4.300  -0.950 
se  f125w   4.40  26.83   0.0674  10.400  7.049  sdssr  4.400  -0.953 
se  f125w   4.50  26.81   0.0685  10.500  7.040  sdssr  4.500  -0.957 
se  f125w   4.60  26.79   0.0696  10.600  7.032  sdssr  4.600  -0.959 
se  f125w   4.70  26.78   0.0707  10.700  7.026  sdssr  4.700  -0.964 
se  f125w   4.80  26.76   0.0719  10.800  7.021  sdssr  4.800  -0.967 
se  f125w   4.90  26.74   0.0731  10.900  7.017  sdssr  4.900  -0.971 
se  f125w   5.00  26.72   0.0743  11.000  7.014  sdssr  5.000  -0.974 
se  f125w   5.10  26.70   0.0755  11.100  7.012  sdssr  5.100  -0.978 
se  f125w   5.20  26.69   0.0768  11.200  7.011  sdssr  5.200  -0.981 
se  f125w   5.30  26.67   0.0780  11.300  7.011  sdssr  5.300  -0.985 
se  f125w   5.40  26.65   0.0793  11.400  7.013  sdssr  5.400  -0.988 
se  f125w   5.50  26.63   0.0806  11.500  7.015  sdssr  5.500  -0.992 
se  f125w   5.60  26.62   0.0820  11.600  7.018  sdssr  5.600  -0.996 
se  f125w   5.70  26.60   0.0833  11.700  7.023  sdssr  5.700  -1.000 
se  f125w   5.80  26.58   0.0847  11.800  7.028  sdssr  5.800  -1.003 
se  f125w   5.90  26.56   0.0861  11.900  7.035  sdssr  5.900  -1.005 
se  f125w   6.00  26.55   0.0875  12.000  7.042  sdssr  6.000  -1.010 
se  f125w   6.10  26.53   0.0889  12.100  7.050  sdssr  6.100  -1.013 
se  f125w   6.20  26.51   0.0904  12.200  7.060  sdssr  6.200  -1.017 
se  f125w   6.30  26.49   0.0919  12.300  7.070  sdssr  6.300  -1.020 
se  f125w   6.40  26.47   0.0934  12.400  7.081  sdssr  6.400  -1.023 
se  f125w   6.50  26.46   0.0949  12.500  7.093  sdssr  6.500  -1.027 
se  f125w   6.60  26.44   0.0965  12.600  7.105  sdssr  6.600  -1.030 
se  f125w   6.70  26.42   0.0981  12.700  7.119  sdssr  6.700  -1.033 
se  f125w   6.80  26.40   0.0997  12.800  7.134  sdssr  6.800  -1.036 
se  f125w   6.90  26.39   0.1013  12.900  7.149  sdssr  6.900  -1.040 
se  f125w   7.00  26.37   0.1030  13.000  7.165  sdssr  7.000  -1.044 
se  f125w   7.10  26.35   0.1047  13.100  7.182  sdssr  7.100  -1.046 
se  f125w   7.20  26.33   0.1064  13.200  7.200  sdssr  7.200  -1.049 
se  f160w   0.00  26.60   0.0831  6.000  6.355  sdssi  0.000  -0.800 
se  f160w   0.10  26.55   0.0869  6.100  6.279  sdssi  0.100  -0.801 
se  f160w   0.20  26.50   0.0908  6.200  6.208  sdssi  0.200  -0.802 
se  f160w   0.30  26.46   0.0950  6.300  6.141  sdssi  0.300  -0.803 
se  f160w   0.40  26.41   0.0993  6.400  6.079  sdssi  0.400  -0.804 
se  f160w   0.50  26.36   0.1038  6.500  6.021  sdssi  0.500  -0.805 
se  f160w   0.60  26.31   0.1085  6.600  5.967  sdssi  0.600  -0.805 
se  f160w   0.70  26.26   0.1135  6.700  5.918  sdssi  0.700  -0.806 
se  f160w   0.80  26.21   0.1187  6.800  5.872  sdssi  0.800  -0.807 
se  f160w   0.90  26.17   0.1241  6.900  5.829  sdssi  0.900  -0.808 
se  f160w   1.00  26.12   0.1297  7.000  5.791  sdssi  1.000  -0.808 
se  f160w   1.10  26.07   0.1356  7.100  5.755  sdssi  1.100  -0.809 
se  f160w   1.20  26.02   0.1418  7.200  5.723  sdssi  1.200  -0.810 
se  f160w   1.30  25.97   0.1483  7.300  5.695  sdssi  1.300  -0.811 
se  f160w   1.40  25.92   0.1550  7.400  5.669  sdssi  1.400  -0.811 
se  f160w   1.50  25.88   0.1621  7.500  5.646  sdssi  1.500  -0.812 
se  f160w   1.60  25.83   0.1695  7.600  5.626  sdssi  1.600  -0.812 
se  f160w   1.70  25.78   0.1772  7.700  5.609  sdssi  1.700  -0.813 
se  f160w   1.80  25.73   0.1853  7.800  5.594  sdssi  1.800  -0.814 
se  f160w   1.90  25.68   0.1937  7.900  5.582  sdssi  1.900  -0.814 
se  f160w   2.00  25.63   0.2026  8.000  5.573  sdssi  2.000  -0.815 
se  f160w   2.10  25.59   0.2118  8.100  5.566  sdssi  2.100  -0.815 
se  f160w   2.20  25.54   0.2214  8.200  5.561  sdssi  2.200  -0.816 
se  f160w   2.30  25.49   0.2315  8.300  5.558  sdssi  2.300  -0.816 
se  f160w   2.40  25.44   0.2421  8.400  5.558  sdssi  2.400  -0.817 
se  f160w   2.50  25.39   0.2531  8.500  5.560  sdssi  2.500  -0.817 
se  f160w   2.60  25.34   0.2647  8.600  5.563  sdssi  2.600  -0.818 
se  f160w   2.70  25.29   0.2767  8.700  5.569  sdssi  2.700  -0.818 
se  f160w   2.80  25.25   0.2893  8.800  5.577  sdssi  2.800  -0.819 
se  f160w   2.90  25.20   0.3025  8.900  5.586  sdssi  2.900  -0.819 
se  f160w   3.00  25.15   0.3163  9.000  5.598  sdssi  3.000  -0.820 
se  f160w   3.10  25.10   0.3307  9.100  5.611  sdssi  3.100  -0.820 
se  f160w   3.20  25.05   0.3458  9.200  5.626  sdssi  3.200  -0.820 
se  f160w   3.30  25.00   0.3615  9.300  5.642  sdssi  3.300  -0.821 
se  f160w   3.40  24.96   0.3780  9.400  5.660  sdssi  3.400  -0.821 
se  f160w   3.50  24.91   0.3952  9.500  5.680  sdssi  3.500  -0.822 
se  f160w   3.60  24.86   0.4133  9.600  5.701  sdssi  3.600  -0.822 
se  f160w   3.70  24.81   0.4321  9.700  5.724  sdssi  3.700  -0.822 
se  f160w   3.80  24.76   0.4518  9.800  5.748  sdssi  3.800  -0.823 
se  f160w   3.90  24.71   0.4724  9.900  5.773  sdssi  3.900  -0.823 
se  f160w   4.00  24.67   0.4939  10.000  5.800  sdssi  4.000  -0.823 
se  f160w   4.10  24.62   0.5164  10.100  5.828  sdssi  4.100  -0.824 
se  f160w   4.20  24.57   0.5399  10.200  5.857  sdssi  4.200  -0.824 
se  f160w   4.30  24.52   0.5645  10.300  5.888  sdssi  4.300  -0.824 
se  f160w   4.40  24.47   0.5903  10.400  5.920  sdssi  4.400  -0.825 
se  f160w   4.50  24.42   0.6172  10.500  5.953  sdssi  4.500  -0.825 
se  f160w   4.60  24.38   0.6453  10.600  5.987  sdssi  4.600  -0.825 
se  f160w   4.70  24.33   0.6747  10.700  6.022  sdssi  4.700  -0.825 
se  f160w   4.80  24.28   0.7055  10.800  6.058  sdssi  4.800  -0.826 
se  f160w   4.90  24.23   0.7376  10.900  6.096  sdssi  4.900  -0.826 
se  f160w   5.00  24.18   0.7712  11.000  6.134  sdssi  5.000  -0.826 
se  f160w   5.10  24.13   0.8064  11.100  6.174  sdssi  5.100  -0.826 
se  f160w   5.20  24.09   0.8431  11.200  6.214  sdssi  5.200  -0.827 
se  f160w   5.30  24.04   0.8815  11.300  6.256  sdssi  5.300  -0.827 
se  f160w   5.40  23.99   0.9217  11.400  6.298  sdssi  5.400  -0.827 
se  f160w   5.50  23.94   0.9637  11.500  6.342  sdssi  5.500  -0.827 
se  f160w   5.60  23.89   1.0076  11.600  6.386  sdssi  5.600  -0.828 
se  f160w   5.70  23.84   1.0535  11.700  6.431  sdssi  5.700  -0.828 
se  f160w   5.80  23.79   1.1016  11.800  6.477  sdssi  5.800  -0.828 
se  f160w   5.90  23.75   1.1518  11.900  6.524  sdssi  5.900  -0.828 
se  f160w   6.00  23.70   1.2042  12.000  6.571  sdssi  6.000  -0.828 
se  f160w   6.10  23.65   1.2591  12.100  6.620  sdssi  6.100  -0.829 
se  f160w   6.20  23.60   1.3165  12.200  6.669  sdssi  6.200  -0.829 
