# event obsband deltatpk mpk fnupk trise t2 t3 restband kcor
   se f160w      1.2 26.02 0.1418   7.2 3.016 4.523            sdssi  -0.810 
   se f125w      1.3 27.38 0.0406   7.3 4.501 5.9            sdssr  -0.850 
   se f160w      1.3 25.97 0.1483   7.3 2.93 4.395            sdssi  -0.811 
   se f125w      1.4 27.36 0.0413   7.4 4.395 5.8            sdssr  -0.853 
   se f160w      1.4 25.92 0.155   7.4 2.846 4.269            sdssi  -0.811 
   se f125w      1.5 27.34 0.042   7.5 4.291 5.7            sdssr  -0.855 
   se f160w      1.5 25.88 0.1621   7.5 2.764 4.146            sdssi  -0.812 
   se f125w      1.6 27.33 0.0426   7.6 4.187 5.6            sdssr  -0.859 
   se f160w      1.6 25.83 0.1695   7.6 2.684 4.026            sdssi  -0.812 
   se f125w      1.7 27.31 0.0433   7.7 4.086 5.5            sdssr  -0.862 
   se f160w      1.7 25.78 0.1772   7.7 2.606 3.909            sdssi  -0.813 
   se f125w      1.8 27.29 0.0441   7.8 3.985 5.4            sdssr  -0.865 
   se f160w      1.8 25.73 0.1853   7.8 2.529 3.794            sdssi  -0.814 
   se f125w      1.9 27.27 0.0448   7.9 3.886 5.3            sdssr  -0.868 
   se f160w      1.9 25.68 0.1937   7.9 2.455 3.682            sdssi  -0.814 
   se f125w      2.0 27.25 0.0455   8.0 3.788 5.2            sdssr  -0.871 
   se f160w      2.0 25.63 0.2026   8.0 2.382 3.573            sdssi  -0.815 
   se f125w      2.1 27.24 0.0463   8.1 3.691 5.1            sdssr  -0.874 
   se f160w      2.1 25.59 0.2118   8.1 2.31 3.466            sdssi  -0.815 
   se f125w      2.2 27.22 0.047   8.2 3.596 5.0            sdssr  -0.877 
   se f160w      2.2 25.54 0.2214   8.2 2.241 3.361            sdssi  -0.816 
   se f125w      2.3 27.2 0.0478   8.3 3.502 4.9            sdssr  -0.880 
   se f160w      2.3 25.49 0.2315   8.3 2.172 3.258            sdssi  -0.816 
   se f125w      2.4 27.18 0.0486   8.4 3.408 4.8            sdssr  -0.883 
   se f160w      2.4 25.44 0.2421   8.4 2.105 3.158            sdssi  -0.817 
   se f125w      2.5 27.17 0.0494   8.5 3.317 4.7            sdssr  -0.888 
   se f160w      2.5 25.39 0.2531   8.5 2.04 3.06            sdssi  -0.817 
   se f125w      2.6 27.15 0.0502   8.6 3.226 4.6            sdssr  -0.891 
   se f160w      2.6 25.34 0.2647   8.6 1.976 2.963            sdssi  -0.818 
   se f125w      2.7 27.13 0.051   8.7 3.136 4.5            sdssr  -0.894 
   se f160w      2.7 25.29 0.2767   8.7 1.913 2.869            sdssi  -0.818 
   se f125w      2.8 27.11 0.0519   8.8 3.048 4.4            sdssr  -0.896 
   se f160w      2.8 25.25 0.2893   8.8 1.851 2.777            sdssi  -0.819 
   se f125w      2.9 27.09 0.0527   8.9 2.96 4.3            sdssr  -0.900 
   se f160w      2.9 25.2 0.3025   8.9 1.791 2.686            sdssi  -0.819 
   se f125w      3.0 27.08 0.0536   9.0 2.874 4.2            sdssr  -0.904 
   se f160w      3.0 25.15 0.3163   9.0 1.732 2.598            sdssi  -0.820 
   se f125w      3.1 27.06 0.0545   9.1 2.789 4.1            sdssr  -0.907 
   se f160w      3.1 25.1 0.3307   9.1 1.674 2.511            sdssi  -0.820 
