# event obsband deltatpk mpk fnupk trise t2 t3 restband kcor
   nw f814w     -3.0 29.51 0.0057   3.0 5.0 5.0         bessellb  -0.797 
   nw f435w     -2.9 29.84 0.0042   3.1 4.9 4.9        bessellux  0.408 
   nw f814w     -2.9 29.42 0.0062   3.1 4.9 4.9         bessellb  -0.798 
   nw f435w     -2.8 29.73 0.0047   3.2 4.8 4.8        bessellux  0.401 
   nw f814w     -2.8 29.32 0.0068   3.2 4.8 4.8         bessellb  -0.798 
   nw f435w     -2.7 29.62 0.0052   3.3 4.7 4.7        bessellux  0.385 
   nw f814w     -2.7 29.23 0.0074   3.3 4.7 4.7         bessellb  -0.799 
   nw f435w     -2.6 29.5 0.0057   3.4 4.6 4.6        bessellux  0.370 
   nw f814w     -2.6 29.13 0.0081   3.4 4.6 4.6         bessellb  -0.800 
   nw f435w     -2.5 29.39 0.0064   3.5 4.5 4.5        bessellux  0.354 
   nw f814w     -2.5 29.04 0.0088   3.5 4.5 4.5         bessellb  -0.802 
   nw f435w     -2.4 29.28 0.007   3.6 4.4 4.4        bessellux  0.346 
   nw f814w     -2.4 28.94 0.0096   3.6 4.4 4.4         bessellb  -0.802 
   nw f435w     -2.3 29.17 0.0078   3.7 4.3 4.3        bessellux  0.331 
   nw f814w     -2.3 28.85 0.0105   3.7 4.3 4.3         bessellb  -0.803 
   nw f435w     -2.2 29.06 0.0087   3.8 4.2 4.2        bessellux  0.323 
   nw f814w     -2.2 28.75 0.0114   3.8 4.2 4.2         bessellb  -0.804 
   nw f435w     -2.1 28.94 0.0096   3.9 4.1 4.1        bessellux  0.300 
   nw f814w     -2.1 28.66 0.0125   3.9 4.1 4.1         bessellb  -0.805 
   nw f435w     -2.0 28.83 0.0107   4.0 4.0 4.0        bessellux  0.285 
   nw f814w     -2.0 28.57 0.0136   4.0 4.0 4.0         bessellb  -0.807 
   nw f435w     -1.9 28.72 0.0118   4.1 3.9 3.9        bessellux  0.278 
   nw f814w     -1.9 28.47 0.0148   4.1 3.9 3.9         bessellb  -0.807 
   nw f435w     -1.8 28.61 0.0131   4.2 3.8 3.8        bessellux  0.262 
   nw f814w     -1.8 28.38 0.0162   4.2 3.8 3.8         bessellb  -0.808 
   nw f435w     -1.7 28.49 0.0145   4.3 3.7 3.7        bessellux  0.247 
   nw f814w     -1.7 28.28 0.0177   4.3 3.7 3.7         bessellb  -0.810 
   nw f435w     -1.6 28.38 0.0161   4.4 3.6 3.6        bessellux  0.232 
   nw f814w     -1.6 28.19 0.0193   4.4 3.6 3.6         bessellb  -0.811 
   nw f435w     -1.5 28.27 0.0179   4.5 3.5 3.5        bessellux  0.225 
   nw f814w     -1.5 28.09 0.021   4.5 3.5 3.5         bessellb  -0.811 
   nw f435w     -1.4 28.16 0.0198   4.6 3.4 3.4        bessellux  0.210 
   nw f814w     -1.4 28.0 0.0229   4.6 3.398 3.4         bessellb  -0.813 
   nw f435w     -1.3 28.05 0.0219   4.7 3.3 3.3        bessellux  0.202 
