# Shafter+ 2011 Table 6 : Light-Curve Parameters
#Nova       Filter Mmax errMmax FadeRate errFadeRate t2 errt2
M31N-2009-08b  V  -7.28  0.11 0.112  0.005   17.8  0.8   
M31N-2009-08b  r  -7.44  0.11 0.086  0.004   23.1  1.2   
M31N-2009-08b  i  -6.47  0.12 0.074  0.006   26.9  2.2   
M31N-2009-08d  B  -7.23  0.24 0.072  0.017   27.9  6.5   
M31N-2009-08d  V  -7.18  0.11 0.063  0.008   31.7  3.9   
M31N-2009-08d  R  -7.34  0.20 0.055  0.008   36.2  5.2   
M31N-2009-08d  r  -7.34  0.11 0.077  0.019   25.9  6.5   
M31N-2009-08e  R  -6.74  0.11 0.016  0.001   121.3  8.0  
M31N-2009-09a  R  -7.04  0.25 0.012  0.001   163.7  15.4 
M31N-2009-10a  B  -7.15  0.11 0.123  0.007   16.2  0.9   
M31N-2009-10a  V  -7.28  0.11 0.132  0.006   15.2  0.7   
M31N-2009-10b  B  -9.55  0.11 0.250  0.007   8.0  0.2 
M31N-2009-10b  V  -9.68  0.11 0.224  0.005   8.9  0.2 
M31N-2009-10b  R  -9.84  0.11 0.156  0.010   12.8  0.8   
M31N-2009-10c  B  -8.75  0.13 0.134  0.008   14.9  0.8   
M31N-2009-10c  V  -8.24  0.14 0.124  0.011   16.1  1.4   
M31N-2009-10c  R  -8.14  0.25 0.065  0.020   30.6  9.4   
M31N-2009-11a  B  -6.65  0.11 0.095  0.007   21.1  1.6   
M31N-2009-11a  V  -6.78  0.11 0.092  0.005   21.7  1.2   
M31N-2009-11a  R  -6.94  0.11 0.096  0.009   20.8  1.9   
M31N-2009-11b  B  -5.85  0.11 0.022  0.004   92.5  16.6  
M31N-2009-11b  V  -5.98  0.11 0.027  0.004   74.8  10.6  
M31N-2009-11b  R  -6.14  0.11 0.023  0.002   88.0  6.6   
M31N-2009-11c  B  -7.28  0.11 0.048  0.003   42.0  2.7   
M31N-2009-11c  V  -7.84  0.14 0.062  0.005   32.5  2.4   
M31N-2009-11c  R  -7.57  0.11 0.046  0.004   43.1  3.6   
M31N-2009-11d  B  -7.85  0.11 0.178  0.007   11.2  0.4   
M31N-2009-11d  V  -7.98  0.11 0.276  0.025   7.2  0.7 
M31N-2009-11d  R  -8.14  0.11 0.122  0.013   16.3  1.7   
M31N-2009-11e  R  -7.56  0.20 0.036  0.002   55.7  3.1   
