# event band deltatpk   mpk  fnupk  trise  t2   t3
nw  f814w  -5.80  32.15   0.0005  0.200  -7.245  -10.868
nw  f814w  -5.70  32.06   0.0005  0.300  -7.481  -11.221
nw  f814w  -5.60  31.96   0.0006  0.400  -7.738  -11.608
nw  f814w  -5.50  31.87   0.0006  0.500  -8.022  -12.033
nw  f814w  -5.40  31.78   0.0007  0.600  -8.336  -12.504
nw  f814w  -5.30  31.68   0.0008  0.700  -8.685  -13.028
nw  f814w  -5.20  31.59   0.0008  0.800  -9.076  -13.614
nw  f814w  -5.10  31.49   0.0009  0.900  -9.516  -14.274
nw  f814w  -5.00  31.40   0.0010  1.000  -10.016  -15.024
nw  f814w  -4.90  31.30   0.0011  1.100  -10.588  -15.882
nw  f814w  -4.80  31.21   0.0012  1.200  -11.249  -16.874
nw  f814w  -4.70  31.11   0.0013  1.300  -12.023  -18.034
nw  f814w  -4.60  31.02   0.0014  1.400  -12.939  -19.409
nw  f814w  -4.50  30.93   0.0015  1.500  -14.043  -21.064
nw  f814w  -4.40  30.83   0.0017  1.600  -15.397  -23.096
nw  f814w  -4.30  30.74   0.0018  1.700  -17.098  -25.647
nw  f814w  -4.20  30.64   0.0020  1.800  -19.299  -28.949
nw  f814w  -4.10  30.55   0.0022  1.900  -22.259  -33.388
nw  f814w  -4.00  30.45   0.0024  2.000  -26.450  -39.675
nw  f814w  -3.90  30.36   0.0026  2.100  -32.844  -49.266
nw  f814w  -3.80  30.26   0.0028  2.200  -43.795  -65.693
nw  f814w  -3.70  30.17   0.0031  2.300  -66.879  -100.318
nw  f814w  -3.60  30.08   0.0034  2.400  -147.275  -220.912
nw  f814w  -3.50  29.98   0.0037  2.500  5.500  5.500
nw  f814w  -3.40  29.89   0.0040  2.600  5.400  5.400
nw  f814w  -3.30  29.79   0.0044  2.700  5.300  5.300
nw  f814w  -3.20  29.70   0.0048  2.800  5.200  5.200
nw  f814w  -3.10  29.60   0.0052  2.900  5.100  5.100
nw  f814w  -3.00  29.51   0.0057  3.000  5.000  5.000
nw  f814w  -2.90  29.42   0.0062  3.100  4.900  4.900
nw  f814w  -2.80  29.32   0.0068  3.200  4.800  4.800
nw  f814w  -2.70  29.23   0.0074  3.300  4.700  4.700
nw  f814w  -2.60  29.13   0.0081  3.400  4.600  4.600
nw  f814w  -2.50  29.04   0.0088  3.500  4.500  4.500
nw  f814w  -2.40  28.94   0.0096  3.600  4.400  4.400
nw  f814w  -2.30  28.85   0.0105  3.700  4.300  4.300
nw  f814w  -2.20  28.75   0.0114  3.800  4.200  4.200
nw  f814w  -2.10  28.66   0.0125  3.900  4.100  4.100
nw  f814w  -2.00  28.57   0.0136  4.000  4.000  4.000
nw  f814w  -1.90  28.47   0.0148  4.100  3.900  3.900
nw  f814w  -1.80  28.38   0.0162  4.200  3.800  3.800
nw  f814w  -1.70  28.28   0.0177  4.300  3.700  3.700
nw  f814w  -1.60  28.19   0.0193  4.400  3.600  3.600
nw  f814w  -1.50  28.09   0.0210  4.500  3.500  3.500
nw  f814w  -1.40  28.00   0.0229  4.600  3.398  3.400
nw  f814w  -1.30  27.90   0.0250  4.700  3.150  3.300
nw  f814w  -1.20  27.81   0.0273  4.800  2.923  3.200
nw  f814w  -1.10  27.72   0.0298  4.900  2.714  3.100
nw  f814w  -1.00  27.62   0.0325  5.000  2.522  3.000
nw  f814w  -0.90  27.53   0.0354  5.100  2.345  2.900
nw  f814w  -0.80  27.43   0.0386  5.200  2.181  2.800
nw  f814w  -0.70  27.34   0.0421  5.300  2.029  2.700
nw  f814w  -0.60  27.24   0.0460  5.400  1.887  2.600
nw  f814w  -0.50  27.15   0.0501  5.500  1.754  2.500
nw  f814w  -0.40  27.05   0.0547  5.600  1.630  2.400
nw  f814w  -0.30  26.96   0.0597  5.700  1.513  2.270
nw  f814w  -0.20  26.87   0.0651  5.800  1.404  2.106
nw  f814w  -0.10  26.77   0.0710  5.900  1.301  1.951
nw  f814w   0.00  26.68   0.0775  6.000  1.204  1.806
nw  f814w   0.10  26.58   0.0845  6.100  1.112  1.668
nw  f814w   0.20  26.49   0.0922  6.200  1.025  1.538
nw  f814w   0.30  26.39   0.1005  6.300  0.943  1.414
nw  f814w   0.40  26.30   0.1097  6.400  0.865  1.297
nw  f814w   0.50  26.21   0.1196  6.500  0.791  1.186
nw  f814w   0.60  26.11   0.1305  6.600  0.720  1.080
nw  f814w   0.70  26.02   0.1424  6.700  0.653  0.979
nw  f814w   0.80  25.92   0.1553  6.800  0.589  0.883
nw  f814w   0.90  25.83   0.1694  6.900  0.527  0.791
nw  f814w   1.00  25.73   0.1848  7.000  0.469  0.703
nw  f814w   1.10  25.64   0.2016  7.100  0.413  0.619
nw  f814w   1.20  25.54   0.2199  7.200  0.359  0.539
nw  f814w   1.30  25.45   0.2399  7.300  0.308  0.462
nw  f814w   1.40  25.36   0.2617  7.400  0.258  0.388
nw  f814w   1.50  25.26   0.2855  7.500  0.211  0.317
nw  f814w   1.60  25.17   0.3114  7.600  0.166  0.248
nw  f814w   1.70  25.07   0.3397  7.700  0.122  0.183
nw  f814w   1.80  24.98   0.3705  7.800  0.080  0.119
nw  f814w   1.90  24.88   0.4042  7.900  0.039  0.059
se  f125w  -6.00  28.67   0.0123  0.000  13.200  13.200
se  f125w  -5.90  28.66   0.0125  0.100  13.100  13.100
se  f125w  -5.80  28.64   0.0127  0.200  13.000  13.000
se  f125w  -5.70  28.62   0.0129  0.300  12.900  12.900
se  f125w  -5.60  28.60   0.0132  0.400  12.800  12.800
se  f125w  -5.50  28.58   0.0134  0.500  12.700  12.700
se  f125w  -5.40  28.57   0.0136  0.600  12.600  12.600
se  f125w  -5.30  28.55   0.0138  0.700  12.500  12.500
