# R. Kawamata 1/2016
# magnification_NW, time-delay_NW, 
# magnification_SE, time-delay_SE, magnification_11.3, and time-delay_11.3.
# The time delays are given in days with respect to 11.3
#  mu1        dt31            mu2           dt32          mu3          
-2.934930e+01  1.736206e+03  1.420990e+02  1.732348e+03  3.002700e+00  
-5.827470e+01  2.010484e+03  3.311137e+02  2.009399e+03  2.828300e+00  
-1.845414e+02  1.994884e+03  5.871754e+02  1.994783e+03  2.847900e+00  
-4.463445e+02  2.154648e+03  6.336040e+02  2.154639e+03  2.682400e+00  
-3.225680e+01  1.767477e+03  1.623566e+02  1.764100e+03  2.982700e+00  
-6.546380e+01  1.909065e+03  1.848981e+02  1.908114e+03  2.861600e+00  
-3.316870e+01  1.549805e+03  1.307189e+02  1.546217e+03  3.127600e+00  
-1.851844e+02  1.871796e+03  1.145457e+02  1.871772e+03  2.905600e+00  
-4.142150e+01  2.034823e+03  8.205880e+01  2.033333e+03  2.726200e+00  
-2.708789e+02  1.944523e+03  1.531815e+02  1.944503e+03  2.926500e+00  
-1.139154e+03  1.916206e+03  8.903827e+02  1.916202e+03  2.895200e+00  
-7.659730e+01  1.805557e+03  1.669785e+02  1.804983e+03  2.928000e+00  
-5.156360e+01  1.723977e+03  2.942382e+02  1.722497e+03  2.972400e+00  
-6.633190e+01  1.776167e+03  2.181636e+02  1.775169e+03  2.956400e+00  
-1.100838e+02  1.954374e+03  5.189484e+02  1.954039e+03  2.833700e+00  
-2.736770e+01  1.751046e+03  8.914670e+01  1.746552e+03  2.932200e+00  
-1.200909e+02  2.187008e+03  2.093028e+02  2.186818e+03  2.705000e+00  
-3.107700e+01  2.046811e+03  8.455780e+01  2.043531e+03  2.697700e+00  
-1.136562e+02  1.974876e+03  1.333554e+03  1.974564e+03  2.817200e+00  
-4.310520e+01  1.709137e+03  9.075160e+01  1.707349e+03  2.962900e+00  
-2.250110e+01  1.763541e+03  9.570120e+01  1.756049e+03  2.854800e+00  
-2.443930e+01  1.827141e+03  9.539350e+01  1.820879e+03  2.835700e+00  
-3.999530e+01  1.833640e+03  1.572900e+02  1.831425e+03  2.819100e+00  
-2.305040e+01  1.783633e+03  1.412317e+02  1.777027e+03  2.811100e+00  
-2.110770e+01  1.868489e+03  1.072194e+02  1.860815e+03  2.732300e+00  
-4.463230e+01  2.062296e+03  1.285569e+02  2.060417e+03  2.672000e+00  
-5.612890e+01  2.127584e+03  1.480242e+02  2.126268e+03  2.618100e+00  
-1.137784e+02  2.116477e+03  5.284608e+02  2.116180e+03  2.673700e+00  
-4.619630e+01  1.848194e+03  1.050160e+02  1.846871e+03  2.807200e+00  
-2.544740e+01  1.869316e+03  1.367153e+02  1.863938e+03  2.763400e+00  
-6.395430e+01  1.648384e+03  1.641793e+02  1.647646e+03  3.057600e+00  
-3.977520e+01  1.693780e+03  9.316480e+01  1.691471e+03  3.060600e+00  
