# m_1o t_1o t_3o x_1p chi t_2p m_1p m_2p x_2p y_1p x_sr m_3p x_3p t_3p y_3p t_2o y_sr t_1p m_3o y_2p m_2o
-99.271 0.0 -2280.2 -1.282 3.337 -0.66033 -105.36 60.267 -2.91 -8.9155 3.2583 2.9097 13.041 -2109.3 4.9122 47.427 -10.162 0.0 2.8196 -9.9012 79.268
-750.36 0.0 -2227.6 -0.83736 114.4 -0.37462 -98.488 129.87 -2.1606 -8.5515 3.0373 2.9419 13.099 -2040.7 4.8729 35.143 -10.062 0.0 2.8491 -9.3901 46.319
-168.98 0.0 -2353.9 -1.0362 25.59 -0.56286 -97.712 91.485 -2.605 -8.7064 3.3044 2.913 13.135 -2064.6 4.7399 38.205 -10.194 0.0 2.768 -9.7099 58.1
-142.51 0.0 -2243.4 -0.93247 31.95 -0.97046 -68.599 64.251 -2.6772 -8.6579 3.3039 2.7841 13.432 -2288.2 5.0033 38.749 -9.9029 0.0 2.7884 -9.741 48.755
-359.45 0.0 -2121.3 -0.91407 86.98 -0.40074 -100.16 113.83 -2.2383 -8.593 3.0015 3.2122 12.927 -1728.8 4.6445 27.388 -9.9144 0.0 2.9922 -9.4637 45.484
-170.16 0.0 -2167.3 -1.0378 34.05 -0.55282 -93.241 89.972 -2.5083 -8.6895 3.0246 3.1163 13.131 -1811.1 4.612 28.978 -9.9412 0.0 2.9208 -9.6544 50.963
-118.95 0.0 -2266.6 -1.0891 20.78 -0.65844 -79.501 75.497 -2.6031 -8.7601 3.0284 2.9699 12.814 -2021.7 4.9107 37.565 -10.08 0.0 2.8654 -9.7074 49.045
-120.98 0.0 -2364.1 -1.1664 17.75 -0.50054 -93.394 88.335 -2.5775 -8.7998 2.8624 3.0988 12.74 -1937.0 4.6965 33.401 -10.054 0.0 2.8866 -9.7007 53.36
-115.96 0.0 -2254.6 -1.164 11.37 -0.63066 -89.839 77.937 -2.6706 -8.7933 2.6006 3.0263 12.964 -2006.7 4.8336 27.54 -9.833 0.0 2.9027 -9.7683 57.751
-66.251 0.0 -2284.9 -1.5758 14.11 -0.64863 -95.882 53.176 -3.0084 -9.1013 2.7768 3.0738 12.923 -2029.7 4.8393 35.915 -9.9108 0.0 2.9353 -10.004 97.012
-268.77 0.0 -2299.0 -0.83007 69.32 -0.74104 -71.729 85.634 -2.4269 -8.5724 2.8696 2.8076 13.246 -2301.7 5.0378 33.863 -9.9101 0.0 2.7924 -9.5711 43.923
-135.24 0.0 -2308.6 -1.0777 15.74 -0.66357 -91.352 77.413 -2.7057 -8.752 2.8153 2.9299 13.06 -2139.2 4.9041 34.051 -9.8151 0.0 2.8393 -9.7722 59.975
-151.17 0.0 -2360.4 -1.0869 19.34 -0.48868 -103.58 93.831 -2.6331 -8.7704 2.939 2.9578 12.77 -2051.2 4.8533 42.165 -10.066 0.0 2.8156 -9.7139 59.491
-134.04 0.0 -2115.1 -1.1413 9.311 -0.59449 -106.12 79.972 -2.753 -8.7923 3.2099 3.0142 12.93 -1975.8 5.0036 39.077 -10.174 0.0 2.9423 -9.8126 68.779
-81.726 0.0 -2347.6 -1.4456 3.707 -0.57179 -102.88 64.285 -2.8926 -9.0016 2.6597 3.0073 12.904 -2037.2 4.784 33.556 -9.9993 0.0 2.8517 -9.9235 80.804
-199.0 0.0 -2210.5 -0.91921 50.43 -0.72233 -77.792 83.893 -2.4745 -8.6181 2.456 2.9169 13.095 -2142.1 5.0089 24.763 -9.7673 0.0 2.8776 -9.6238 47.163
-149.59 0.0 -2237.4 -1.0729 20.31 -0.58578 -95.881 87.905 -2.6281 -8.7353 2.5726 2.9768 12.963 -2027.5 4.8903 29.96 -9.8679 0.0 2.8722 -9.7299 58.787
