# m_1o t_1o t_3o x_1p chi t_2p m_1p m_2p x_2p y_1p x_sr m_3p x_3p t_3p y_3p t_2o y_sr t_1p m_3o y_2p m_2o
-131.44 0.0 -2139.3 -1.3386 2.073 -0.45755 -138.91 84.009 -2.8232 -8.9157 3.0678 3.0797 13.164 -1827.2 4.6615 35.132 -10.132 0.0 2.902 -9.8712 88.893
-583.68 0.0 -2174.8 -0.95579 45.86 -0.20375 -223.44 234.32 -2.4868 -8.6341 3.3312 3.0516 12.959 -1846.3 4.7617 38.711 -10.252 0.0 2.8772 -9.622 92.803
-239.48 0.0 -2334.5 -1.1386 10.96 -0.3068 -193.06 117.71 -2.7366 -8.7975 3.3173 3.0199 12.968 -1979.7 4.7183 46.518 -10.264 0.0 2.824 -9.7791 94.576
-191.47 0.0 -2154.8 -0.99312 27.84 -0.59751 -103.35 89.812 -2.6366 -8.6877 3.4193 2.8997 13.286 -1976.1 4.794 41.362 -10.198 0.0 2.8128 -9.72 61.751
-130.21 0.0 -2098.9 -1.6053 19.2 -0.43588 -190.91 60.245 -3.0583 -9.1263 3.7278 2.9797 13.211 -1888.2 4.8001 53.743 -10.469 0.0 2.8586 -10.017 171.59
-123.87 0.0 -2266.0 -1.2118 5.722 -0.58791 -107.66 75.91 -2.779 -8.8371 3.2593 3.0017 13.254 -1989.9 4.6757 38.518 -10.088 0.0 2.8498 -9.8283 70.806
-120.57 0.0 -2230.6 -1.2505 5.957 -0.50113 -111.57 84.074 -2.724 -8.8674 3.2223 3.0452 12.971 -1906.3 4.7327 40.238 -10.253 0.0 2.8802 -9.7914 68.736
-98.603 0.0 -2238.4 -1.4449 5.089 -0.57991 -117.94 64.402 -2.9479 -8.9981 3.4097 2.9756 13.316 -1971.7 4.6686 41.712 -10.292 0.0 2.8308 -9.956 97.662
-83.428 0.0 -2239.3 -1.3638 3.396 -0.75001 -90.92 57.453 -2.9308 -8.9508 3.5561 2.9896 13.365 -2005.2 4.6839 45.582 -10.346 0.0 2.8667 -9.9335 77.86
-203.97 0.0 -2250.1 -0.99291 29.18 -0.58814 -107.48 92.876 -2.6208 -8.6677 3.369 2.8594 13.41 -2066.9 4.7435 35.517 -10.202 0.0 2.7647 -9.7221 62.726
-223.17 0.0 -2173.0 -1.3507 2.167 -0.28 -253.13 115.38 -2.8066 -8.9144 3.3587 3.1396 13.14 -1793.6 4.6084 36.328 -10.256 0.0 2.9152 -9.8608 119.54
-2400.5 0.0 -2300.6 -0.91208 154.2 -0.16427 -148.13 179.72 -1.9563 -8.5683 3.5282 2.9418 13.283 -1936.9 4.5838 34.191 -10.285 0.0 2.7707 -9.253 48.232
-281.22 0.0 -2243.9 -0.95795 40.34 -0.44776 -124.98 120.44 -2.5335 -8.6452 3.3103 2.937 13.255 -2004.7 4.7343 35.786 -10.125 0.0 2.813 -9.6573 66.91
-56.601 0.0 -2288.3 -2.3653 174.6 -0.15047 -115.92 67.801 -3.1111 -9.6668 3.5113 2.9248 13.442 -2038.8 4.6268 44.587 -10.083 0.0 2.7708 -10.152 2749.4
-304.85 0.0 -2250.5 -1.0705 28.17 -0.27603 -181.91 154.6 -2.5438 -8.7173 3.0733 3.0428 13.098 -1844.6 4.5875 34.722 -10.145 0.0 2.8136 -9.669 79.92
-274.1 0.0 -2268.3 -1.0002 34.99 -0.37856 -136.29 132.66 -2.5381 -8.6832 3.3208 2.989 13.043 -1979.9 4.7683 39.965 -10.26 0.0 2.8431 -9.6575 70.964
-153.48 0.0 -2316.5 -1.2435 4.813 -0.41266 -145.09 91.792 -2.7682 -8.8569 3.2057 2.9996 13.081 -1958.4 4.6587 39.355 -10.121 0.0 2.8019 -9.8216 82.755
-388.7 0.0 -2268.9 -0.92992 69.66 -0.33165 -126.01 144.25 -2.3302 -8.6192 3.1747 3.0016 13.056 -1874.3 4.6172 36.012 -10.146 0.0 2.8003 -9.5173 57.658
-71.79 0.0 -2321.3 -1.9084 61.06 -0.42201 -119.0 53.876 -3.1123 -9.3286 3.2357 3.1125 13.151 -1881.3 4.5032 44.407 -10.177 0.0 2.8362 -10.089 214.36
-351.62 0.0 -2266.7 -0.9517 53.14 -0.33865 -135.05 151.73 -2.4253 -8.6477 2.8984 3.0165 12.997 -1953.6 4.7404 35.243 -10.03 0.0 2.8576 -9.5779 66.724
-167.09 0.0 -2332.6 -1.3854 3.19 -0.3674 -202.69 79.29 -2.9043 -8.9623 3.0375 2.9536 13.226 -1981.7 4.6067 42.419 -10.116 0.0 2.7515 -9.9052 114.95
-759.06 0.0 -2264.7 -0.95261 28.5 -0.18228 -312.75 161.25 -2.7338 -8.6501 3.2906 2.9874 12.986 -1936.6 4.7558 44.957 -10.133 0.0 2.8074 -9.7586 123.88
-133.45 0.0 -2309.9 -1.593 14.67 -0.36099 -204.78 69.524 -2.9922 -9.1114 3.1075 3.0403 13.039 -1993.4 4.7199 42.121 -10.001 0.0 2.8545 -9.9742 147.96
-188.6 0.0 -2317.2 -1.104 10.66 -0.50205 -143.32 81.903 -2.8308 -8.7749 3.1831 2.8578 13.187 -2168.7 4.8827 40.641 -9.8861 0.0 2.7712 -9.8473 88.837
-370.26 0.0 -2271.9 -1.0162 31.73 -0.26365 -189.16 175.44 -2.5564 -8.6782 2.9955 3.0162 12.955 -1969.2 4.7863 32.384 -9.9257 0.0 2.8563 -9.6782 87.4
-102.68 0.0 -2282.0 -1.7168 28.53 -0.40717 -159.77 61.816 -3.0411 -9.1924 3.0897 3.0529 13.095 -1954.7 4.6765 39.458 -9.9475 0.0 2.8542 -10.026 161.89
-223.16 0.0 -2304.2 -1.1796 8.588 -0.30052 -196.52 116.48 -2.7406 -8.8292 3.2547 3.0026 12.891 -1967.5 4.7659 46.646 -10.253 0.0 2.8304 -9.7815 95.048
-310.91 0.0 -2280.2 -0.96996 41.63 -0.38895 -139.51 131.5 -2.5086 -8.6437 3.1806 2.9261 13.267 -1984.0 4.659 32.754 -10.06 0.0 2.7762 -9.6452 68.752
-796.94 0.0 -2306.9 -0.88739 88.91 -0.22171 -166.0 223.63 -2.2548 -8.589 3.1094 2.996 13.072 -1935.4 4.6545 39.16 -10.24 0.0 2.804 -9.4549 69.607
-3612.8 0.0 -2263.0 -0.91489 132.2 -0.083724 -273.81 461.65 -2.0418 -8.5786 3.3215 2.979 13.099 -1870.2 4.6329 40.177 -10.27 0.0 2.7755 -9.3052 80.085
-128.17 0.0 -2269.4 -1.5349 7.912 -0.3367 -176.18 82.776 -2.8963 -9.0583 3.3784 3.025 13.045 -1826.1 4.5661 45.482 -10.495 0.0 2.7872 -9.9158 113.69
-489.89 0.0 -2274.9 -0.84658 86.55 -0.40393 -107.24 130.83 -2.2984 -8.5749 3.424 2.8357 13.126 -2061.0 4.8419 44.964 -10.496 0.0 2.7404 -9.4816 52.7
-196.56 0.0 -2313.8 -1.0866 21.71 -0.41842 -126.45 111.17 -2.5994 -8.7335 3.2699 3.0137 13.076 -1957.0 4.6748 36.55 -10.226 0.0 2.823 -9.7117 67.882
-182.06 0.0 -2230.3 -1.2381 4.345 -0.37957 -174.44 97.041 -2.7959 -8.851 3.0404 3.0444 13.128 -1915.7 4.691 37.219 -10.099 0.0 2.8565 -9.8406 95.425
-150.27 0.0 -2266.5 -1.1813 9.025 -0.46116 -125.05 93.281 -2.7111 -8.8149 3.1235 3.0394 12.99 -1957.5 4.7548 37.593 -10.081 0.0 2.8712 -9.783 72.669
-1373.9 0.0 -2225.3 -0.8989 126.4 -0.17027 -163.19 236.67 -2.0665 -8.5743 2.7777 3.0287 12.842 -1910.3 4.8185 30.28 -9.891 0.0 2.8689 -9.3333 61.6
-220.66 0.0 -2308.1 -0.97993 49.09 -0.48915 -97.103 105.82 -2.427 -8.6592 2.5742 3.0278 12.953 -1994.9 4.7608 28.376 -9.9254 0.0 2.8678 -9.5913 51.979
-378.72 0.0 -2214.2 -0.9058 92.25 -0.42593 -96.179 107.58 -2.217 -8.5731 2.6323 3.0814 13.019 -1859.7 4.667 20.977 -9.8518 0.0 2.8953 -9.4543 43.82
-119.21 0.0 -2172.7 -1.0708 19.96 -0.82499 -74.954 68.517 -2.6378 -8.7142 2.8168 3.0117 13.255 -2031.7 4.8349 24.717 -9.8203 0.0 2.935 -9.7499 49.836
-305.96 0.0 -2223.7 -0.89827 62.54 -0.51195 -99.555 110.44 -2.4057 -8.5865 2.8238 2.9283 13.205 -2037.1 4.8221 28.233 -10.034 0.0 2.8293 -9.5783 53.284
-174.02 0.0 -2237.9 -1.147 19.25 -0.42015 -123.95 106.99 -2.575 -8.7614 2.4822 3.1139 13.11 -1843.6 4.5631 24.258 -9.8329 0.0 2.8781 -9.7069 64.872
-95.14 0.0 -2219.2 -1.2777 2.648 -0.74509 -94.514 60.826 -2.8912 -8.8893 2.8351 2.886 13.126 -2153.8 5.002 34.676 -9.9666 0.0 2.8414 -9.9135 75.042
-137.42 0.0 -2266.3 -1.2065 6.645 -0.50058 -119.31 84.824 -2.7439 -8.83 3.0298 2.9427 13.084 -1972.9 4.7406 38.089 -10.235 0.0 2.7925 -9.808 72.297
-144.21 0.0 -2193.3 -1.1997 5.956 -0.49271 -127.53 81.853 -2.7814 -8.8296 3.2527 2.953 13.074 -1920.8 4.7777 41.939 -10.243 0.0 2.8115 -9.8288 76.073
-84.689 0.0 -2301.1 -1.386 3.582 -0.64432 -100.8 57.772 -2.9276 -8.9797 3.0002 2.9096 13.03 -2073.2 4.8357 44.093 -10.117 0.0 2.7923 -9.9224 79.879
-142.73 0.0 -2289.8 -1.1622 10.27 -0.50929 -113.3 87.899 -2.7061 -8.7999 2.8931 3.0195 13.078 -1979.8 4.7171 36.246 -10.133 0.0 2.8486 -9.7801 68.253
-158.58 0.0 -2244.6 -1.0565 20.91 -0.5894 -98.462 88.383 -2.6416 -8.7228 2.6977 2.9636 13.044 -2060.2 4.8906 30.773 -9.8745 0.0 2.8645 -9.7375 60.533
-103.46 0.0 -2291.3 -1.2936 2.371 -0.58567 -106.52 70.557 -2.8304 -8.897 2.7165 3.0183 13.01 -2029.1 4.8022 33.744 -9.9452 0.0 2.874 -9.8709 74.289
-90.728 0.0 -2135.4 -1.3717 2.396 -0.60071 -105.49 64.748 -2.8843 -8.9618 2.512 3.1028 12.868 -1926.1 4.9163 31.817 -9.6571 0.0 2.9889 -9.9037 78.627
-120.38 0.0 -2312.0 -1.1431 12.73 -0.6415 -88.992 75.42 -2.6747 -8.7747 2.4758 2.9608 13.163 -2041.3 4.7092 26.699 -9.7438 0.0 2.8132 -9.7683 56.433
-204.58 0.0 -2310.1 -0.999 42.24 -0.50266 -97.624 105.85 -2.4642 -8.6693 2.3372 3.026 12.91 -2030.3 4.8242 25.062 -9.7875 0.0 2.8839 -9.622 54.214
