# Template from B. Schaefer 2010
# V394 CrA			
# t   B    V
0	7.0	7.2	
3	9.45	9.6	
8	10.75	10.9	
11	12.0	12.2	
20	13.4	13.3	
27	13.7	13.5	
70	14.5	14.3 	
