# Pastorello et al. 2013 (2013ApJ...767....1P)
#
# Table 1
# Optical Photometry of SN 2009ip
#
# MJD      U    Uerr     B    Berr     V   Verr      R   Rerr      I   Ierr  Source  
55777.24   nan  nan      nan  nan      nan  nan    18.46 0.05      nan  nan    8  
55797.93   nan  nan      nan  nan      nan  nan    19.40 0.05      nan  nan    8  
55801.12   nan  nan      nan  nan      nan  nan    19.91 0.03      nan  nan    8  
55802.13   nan  nan      nan  nan      nan  nan    20.17 0.05      nan  nan    8  
55804.24   nan  nan      nan  nan      nan  nan    20.39 0.05      nan  nan    8  
55805.90   nan  nan      nan  nan      nan  nan    20.49 0.14      nan  nan    8  
55808.01   nan  nan      nan  nan      nan  nan    20.73 0.07      nan  nan    8  
55809.90   nan  nan      nan  nan      nan  nan    20.89 0.15      nan  nan    8  
55810.66   nan  nan      nan  nan      nan  nan    21.00 0.08      nan  nan    7  
55811.04   nan  nan      nan  nan      nan  nan    21.14 0.25      nan  nan    8  
55815.02   nan  nan      nan  nan      nan  nan    19.67 -9.0      nan  nan    8  
55817.90   nan  nan      nan  nan      nan  nan    20.77 0.17      nan  nan    8  
55821.18   nan  nan      nan  nan      nan  nan    20.29 0.11      nan  nan    8  
55821.92   nan  nan      nan  nan      nan  nan    19.56 0.05      nan  nan    8  
55823.94   nan  nan      nan  nan      nan  nan    18.57 0.03      nan  nan    8  
55826.15   nan  nan      nan  nan      nan  nan    17.86 0.04      nan  nan    8  
55826.91   nan  nan      nan  nan      nan  nan    18.48 0.04      nan  nan    8  
55826.98   nan  nan      nan  nan      nan  nan    18.58 0.03      nan  nan    8  
55827.09   nan  nan      nan  nan      nan  nan    18.72 0.03      nan  nan    8  
55829.18   nan  nan      nan  nan      nan  nan    19.02 0.24      nan  nan    8  
55830.90   nan  nan      nan  nan      nan  nan    19.36 0.07      nan  nan    8  
55830.98   nan  nan      nan  nan      nan  nan    19.40 0.03      nan  nan    8  
55831.13   nan  nan      nan  nan      nan  nan    19.45 0.06      nan  nan    8  
55831.99   nan  nan      nan  nan      nan  nan    19.65 0.07      nan  nan    8  
55834.90   nan  nan      nan  nan      nan  nan    20.02 0.05      nan  nan    8  
55838.91   nan  nan      nan  nan      nan  nan    18.85 0.04      nan  nan    8  
55843.90   nan  nan      nan  nan      nan  nan    18.45 -9.0      nan  nan    8  
55852.52   nan  nan      nan  nan      nan  nan    20.87 0.09      nan  nan    7  
55852.99   nan  nan      nan  nan      nan  nan    20.82 0.08      nan  nan    8  
55854.59   nan  nan      nan  nan      nan  nan    20.90 0.14      nan  nan    7  
55855.91   nan  nan      nan  nan      nan  nan    20.84 0.07      nan  nan    8  
55856.02   nan  nan      nan  nan      nan  nan    20.84 0.08      nan  nan    8  
55858.91   nan  nan      nan  nan      nan  nan    20.50 0.06      nan  nan    8  
55882.57   nan  nan      nan  nan      nan  nan    20.77 0.10      nan  nan    7  
55892.94   nan  nan      nan  nan      nan  nan    19.96 0.06      nan  nan    8  
55914.54   nan  nan      nan  nan      nan  nan    19.85 0.09      nan  nan    7  
55916.53   nan  nan      nan  nan      nan  nan    19.70 0.11      nan  nan    7  
56040.43   nan  nan      nan  nan      nan  nan    19.92 0.13      nan  nan    7  
56147.73 17.54 0.01    18.51 0.01    18.43 0.04    18.22 0.03    18.12 0.05    7  
56148.91   nan  nan      nan  nan      nan  nan    18.46 0.08      nan  nan    7  
56150.90   nan  nan      nan  nan      nan  nan    18.23 0.05      nan  nan    7  
56157.76 16.54 0.22    17.24 0.10    17.05 0.11    16.86 0.06    16.73 0.11    9  
56164.78   nan  nan      nan  nan      nan  nan    16.94 0.02      nan  nan    7  
56165.59 16.09 0.01    16.88 0.01    16.84 0.02    16.61 0.02    16.53 0.02    7  
56166.65 16.24 0.01    17.02 0.01    16.93 0.01    16.73 0.03    16.58 0.03    7  
56168.54   nan  nan      nan  nan      nan  nan    16.56 0.05      nan  nan    10 
56170.54 16.32 0.02    17.02 0.01    16.84 0.02    16.54 0.05    16.48 0.08    10 
56171.60   nan  nan    16.92 0.03    16.77 0.03    16.52 0.04    16.49 0.05    11 
56172.62   nan  nan    17.02 0.08    16.73 0.02    16.57 0.04    16.41 0.04    11 
56175.57 16.72 0.03    17.31 0.06    17.09 0.04    16.82 0.03    16.77 0.03    12 
56175.85   nan  nan      nan  nan    16.99 0.07    16.78 0.07    16.79 0.10    11 
56176.56   nan  nan    17.34 0.06    17.08 0.03    16.85 0.04    16.70 0.05    11 
56177.53   nan  nan      nan  nan      nan  nan    16.80 0.08      nan  nan    7  
56177.60 16.39 0.12      nan  nan      nan  nan      nan  nan      nan  nan    7  
56180.53   nan  nan      nan  nan      nan  nan    16.79 0.10      nan  nan    7  
